Name,"Continent(1=N.America, 2=S.America, 3=Europe, 4=Africa, 4=Asia, 6=Oceania)",Zone,Area,Population(in millions),Language,religion,bars,stripes,colours,red,green,blue,gold,white,black,orange,mainhue,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text,topleft,botright,FILENAME
Argentina,2,3,2777,44.49,2,0,0,3,3,0,0,1,1,1,0,0,blue,0,0,0,0,1,0,0,0,0,0,blue,blue,AX.svg
Chile,2,3,757,11,2,0,0,2,3,1,0,1,0,1,0,0,red,0,0,0,1,1,0,0,0,0,0,blue,red,DZ.svg
Colombia,2,4,1139,28,2,0,0,3,3,1,0,1,1,0,0,0,gold,0,0,0,0,0,0,0,0,0,0,gold,red,AS.svg
Costa Rica,1,4,51,2,2,0,0,5,3,1,0,1,0,1,0,0,blue,0,0,0,0,0,0,0,0,0,0,blue,blue,AD.svg
Ecuador,2,3,284,8,2,0,0,3,3,1,0,1,1,0,0,0,gold,0,0,0,0,0,0,0,0,0,0,gold,red,AI.svg
Guatemala,1,4,109,8,2,0,3,0,2,0,0,1,0,1,0,0,blue,0,0,0,0,0,0,0,0,0,0,blue,blue,AG.svg
Honduras,1,4,112,4,2,0,0,3,2,0,0,1,0,1,0,0,blue,0,0,0,0,5,0,0,0,0,0,blue,blue,AR.svg
Nicaragua,1,4,128,3,2,0,0,3,2,0,0,1,0,1,0,0,blue,0,0,0,0,0,0,0,0,0,0,blue,blue,AW.svg
Panama,2,4,76,2,2,0,0,0,3,1,0,1,0,1,0,0,red,0,0,0,4,2,0,0,0,0,0,white,white,AU.svg
Peru,2,3,1285,14,2,0,3,0,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red,AZ.svg
Puerto Rico,1,4,9,3,2,0,0,5,3,1,0,1,0,1,0,0,red,0,0,0,0,1,0,1,0,0,0,red,red,BS.svg
Spain,3,4,505,38,2,0,0,3,2,1,0,0,1,0,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red,BH.svg
Venezuela,2,4,912,15,2,0,0,3,7,1,1,1,1,1,1,1,red,0,0,0,0,7,0,0,1,1,0,gold,red,BB.svg
France,3,1,547,54,3,0,3,0,3,1,0,1,0,1,0,0,white,0,0,0,0,0,0,0,0,0,0,blue,red,BY.svg
French Guiana,2,4,91,0,3,0,3,0,3,1,0,1,0,1,0,0,white,0,0,0,0,0,0,0,0,0,0,blue,red,BE.svg
Monaco,3,1,0,0,3,0,0,2,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,white,BJ.svg
Austria,3,1,84,8.86,4,0,0,3,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red,BM.svg
Cape-Verde-Islands,4,4,4,0,6,0,1,2,5,1,1,0,1,0,1,1,gold,0,0,0,0,1,0,0,0,1,0,red,green,IO.svg
Portugal,3,4,92,10,6,0,0,0,5,1,1,1,1,1,0,0,red,1,0,0,0,0,0,0,1,0,0,green,red,BN.svg
San Marino,3,1,0,0,6,0,0,2,2,0,0,1,0,1,0,0,white,0,0,0,0,0,0,0,0,0,0,white,blue,BG.svg
Sao Tome and Principe,4,1,0,0,6,0,0,3,4,1,1,0,1,0,1,0,green,0,0,0,0,2,0,1,0,0,0,green,green,BF.svg
Philippines,6,1,300,48,10,0,0,0,4,1,0,1,1,1,0,0,blue,0,0,0,0,4,0,1,0,0,0,blue,red,KH.svg
British Indian Ocean Territory,,,,0.003,,0,0,7,5,1,1,1,1,1,0,0,blue,0,2,2,1,0,0,0,1,1,0,red,white,CA.svg
Cabo Verde,,,,0.54,,0,0,5,4,1,0,1,1,1,0,0,blue,0,0,0,0,10,0,0,0,0,0,blue,blue,CV.svg
Croatia,,,,4.08,,0,0,3,3,1,0,1,0,1,0,0,red,0,0,0,0,0,0,0,1,0,0,red,blue,KY.svg
Curaçao,,,,0.16,,0,0,1,3,0,0,1,1,1,0,0,blue,0,0,0,0,2,0,0,0,0,0,blue,blue,CF.svg
Democratic Republic of the Congo,,,,84.07,,0,0,0,3,1,0,1,1,0,0,0,blue,0,0,0,0,1,0,0,0,0,0,blue,blue,TD.svg
French Polynesia,,,,0.3,,0,0,3,4,1,0,1,1,1,0,0,red,0,0,0,0,0,0,0,1,0,0,red,red,CN.svg
Georgia,,,,3.72,,0,0,0,2,1,0,0,0,1,0,0,white,0,5,0,4,0,0,0,0,0,0,white,white,CX.svg
Guernsey,,,,0.07,,0,0,0,3,1,0,0,1,1,0,0,white,0,2,0,0,0,0,0,0,0,0,white ,white,CC.svg
Micronesia (Federated States of),,,,0.11,,0,0,0,2,0,0,1,0,1,0,0,blue,0,0,0,0,4,0,0,0,0,0,blue,blue,CO.svg
New Caledonia,,,,0.28,,0,0,3,5,1,1,1,1,0,1,0,blue,1,0,0,0,0,0,0,1,0,0,blue,green,KM.svg
Northern Mariana Islands,,,,0.057,,0,0,0,5,1,0,1,0,1,0,1,blue,0,0,0,0,1,0,0,1,0,0,blue,blue,CG.svg
Slovakia,,,,5.45,,0,0,3,3,1,0,1,0,1,0,0,white,0,0,0,0,0,0,0,1,0,0,white,red,CK.svg
Timor-Leste,,,,1.27,,0,0,0,4,1,0,0,1,1,1,0,red,0,0,0,0,1,0,2,0,0,0,red,red,CI.svg
United Kingdom,,,,66.65,,0,0,0,3,1,0,1,0,1,0,0,red,0,2,2,0,0,0,8,0,0,0,blue,blue,HR.svg
American-Samoa,6,3,0,0.06,1,1,0,0,5,1,0,1,1,1,0,1,blue,0,0,0,0,0,0,1,1,1,0,blue,red,CU.svg
Anguilla,1,4,0,15,1,1,0,1,3,0,0,1,0,1,0,1,white,0,0,0,0,0,0,0,0,1,0,white,blue,CW.svg
Antigua-Barbuda,1,4,0,0.1,1,1,0,1,5,1,0,1,1,1,1,0,red,0,0,0,0,1,0,1,0,0,0,black,red,CY.svg
Australia,6,2,7690,24.99,1,1,0,0,3,1,0,1,0,1,0,0,blue,0,1,1,1,6,0,0,0,0,0,white,blue,KP.svg
Bahamas,1,4,19,0.38,1,1,0,3,3,0,0,1,1,0,1,0,blue,0,0,0,0,0,0,1,0,0,0,blue,blue,CS.svg
Barbados,1,4,0,0.29,1,1,3,0,3,0,0,1,1,0,1,0,blue,0,0,0,0,0,0,0,1,0,0,blue,blue,CD.svg
Bermuda,1,4,0,0.06,1,1,0,0,6,1,1,1,1,1,1,0,red,1,1,1,1,0,0,0,1,1,0,white,red,DJ.svg
British-Virgin-Isles,1,4,0,0.02,1,1,0,0,6,1,1,1,1,1,0,1,blue,0,1,1,1,0,0,0,1,1,1,white,blue,DM.svg
Canada,1,4,9976,24,1,1,2,0,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,1,0,red,red,DO.svg
Cook Islands,6,3,0,0,1,1,0,0,4,1,0,1,0,1,0,0,blue,1,1,1,1,15,0,0,0,0,0,white,blue,EG.svg
Dominica,1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,green,1,0,0,0,10,0,0,0,1,0,green,green,SV.svg
Grenada,1,4,0,0,1,1,0,0,3,1,1,0,1,0,0,0,gold,1,0,0,0,7,0,1,0,1,0,red,red,ET.svg
Jamaica,1,4,11,2,1,1,0,0,3,0,1,0,1,0,1,0,green,0,0,1,0,0,0,1,0,0,0,gold,gold,FO.svg
Montserrat,1,4,0,0,1,1,0,0,7,1,1,1,1,1,1,0,blue,0,2,1,1,0,0,0,1,1,0,white,blue,FI.svg
Niue,6,3,0,0,1,1,0,0,4,1,0,1,1,1,0,0,gold,1,1,1,1,5,0,0,0,0,0,white,gold,GF.svg
Saint Helena,4,3,0,0,1,1,0,0,7,1,1,1,1,1,0,1,blue,0,1,1,1,0,0,0,1,0,0,white,blue,PF.svg
Saint Vincent and the Grenadines,1,4,0,0,1,1,5,0,4,0,1,1,1,1,0,0,green,0,0,0,0,0,0,0,1,1,1,blue,green,GA.svg
Seychelles,4,2,0,0,1,1,0,0,3,1,1,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,green,GM.svg
Solomon Islands,6,2,30,0,1,1,0,0,4,0,1,1,1,1,0,0,green,0,0,0,0,5,0,1,0,0,0,blue,green,GE.svg
St-Lucia,1,4,0,0,1,1,0,0,4,0,0,1,1,1,1,0,blue,0,0,0,0,0,0,1,0,0,0,blue,blue,GH.svg
Trinidad-Tobago,2,4,5,1,1,1,0,0,3,1,0,0,0,1,1,0,red,0,0,0,0,0,0,1,0,0,0,white,white,GI.svg
Tuvalu,6,2,0,0,1,1,0,0,5,1,0,1,1,1,0,0,blue,0,1,1,1,9,0,0,0,0,0,white,blue,GL.svg
Cameroon,4,1,474,8,3,1,3,0,3,1,1,0,1,0,0,0,gold,0,0,0,0,1,0,0,0,0,0,green,gold,GG.svg
Switzerland,3,1,41,6,4,1,0,0,2,1,0,0,0,1,0,0,red,0,1,0,0,0,0,0,0,0,0,red,red,GN.svg
