name,red,green,blue,gold,white,black,orange,crescent,triangle,icon,animate,text
Belgium,1,0,0,1,0,1,0,0,0,0,0,0
Chile,1,0,1,0,1,0,0,0,0,0,0,0
El-Salvador,0,0,1,0,1,0,0,0,0,0,0,0
Guatemala,0,0,1,0,1,0,0,0,0,0,0,0
Ireland,0,1,0,0,1,0,1,0,0,0,0,0
Mexico,1,1,0,0,1,0,1,0,0,0,1,0
Spain,1,0,0,1,0,0,0,0,0,0,0,0
Australia,1,0,1,0,1,0,0,0,0,0,0,0
Canada,1,0,0,0,1,0,0,0,0,0,1,0
Cyprus,0,1,0,1,1,0,0,0,0,1,1,0
Faeroes,1,0,1,0,1,0,0,0,0,0,0,0
Greenland,1,0,0,0,1,0,0,0,0,0,0,0
Guam,1,1,1,1,1,0,1,0,0,1,1,1
Netherlands,1,0,1,0,1,0,0,0,0,0,0,0
Norway,1,0,1,0,1,0,0,0,0,0,0,0
UK,1,0,1,0,1,0,0,0,0,0,0,0
Afghanistan,1,1,0,1,1,1,0,0,0,1,0,0
Algeria,1,1,0,0,1,0,0,1,0,0,0,0
Brunei,1,0,0,1,1,1,0,0,1,1,1,1
Comorro-Islands,0,1,0,0,1,0,0,1,0,0,0,0
Djibouti,1,1,1,0,1,0,0,0,1,0,0,0
Kuwait,1,1,0,0,1,1,0,0,0,0,0,0
Malaysia,1,0,1,1,1,0,0,1,0,0,0,0
Mali,1,1,0,1,0,0,0,0,0,0,0,0
Morocco,1,1,0,0,0,0,0,0,0,0,0,0
Saudi-Arabia,0,1,0,0,1,0,0,0,0,1,0,1
Syria,1,1,0,0,1,1,0,0,0,0,0,0
Bhutan,1,0,0,0,1,1,1,0,0,0,1,0
Sri-Lanka,0,1,0,1,0,0,1,0,0,1,1,0
Singapore,1,0,0,0,1,0,0,1,0,0,0,0
Mauritius,1,1,1,1,0,0,0,0,0,0,0,0
Nepal,0,0,1,0,1,0,1,1,0,0,0,0
Angola,1,0,0,1,0,1,0,0,0,1,0,0
Burundi,1,1,0,0,1,0,0,0,0,0,0,0
Central-African-Republic,1,1,1,1,1,0,0,0,0,0,0,0
Ghana,1,1,0,1,0,1,0,0,0,0,0,0
Ivory-Coast,1,1,0,0,1,0,0,0,0,0,0,0
Lesotho,1,1,1,0,1,0,0,0,0,1,0,0
Liberia,1,0,1,0,1,0,0,0,0,0,0,0
Malawi,1,1,0,0,0,1,0,0,0,0,0,0
Papua-New-Guinea,1,0,0,1,1,1,0,0,1,0,1,0
Tanzania,0,1,1,1,0,1,0,0,1,0,0,0
Albania,1,0,0,1,0,1,0,0,0,0,1,0
Cuba,1,0,1,0,1,0,0,0,1,0,0,0
Mongolia,1,0,1,1,0,0,0,1,1,1,0,0
Poland,1,0,0,0,1,0,0,0,0,0,0,0
Romania,1,1,1,1,1,0,1,0,0,1,1,1
South-Korea,1,0,1,0,1,1,0,0,0,1,0,0
Togo,1,1,0,1,1,0,0,0,0,0,0,0
